stops_id,tempo libero,"dormire, mangiare e altra cura della persona",istruzione e formazione,lavoro retribuito
934,12,2,0,4
901,2,2,0,0
989,26,14,0,4
896,5,3,0,1
945,1,3,0,0
917,0,1,0,1
939,3,16,0,6
996,20,21,0,6
987,67,46,0,11
930,127,28,0,8
968,75,35,2,12
985,137,77,3,50
981,234,111,1,31
967,306,174,2,32
960,266,183,1,37
909,349,82,1,30
929,31,20,0,11
918,113,124,0,4
943,176,68,0,19
941,121,71,2,2
928,156,104,1,8
912,100,61,1,6
898,49,42,0,9
951,54,32,0,6
921,37,15,0,4
893,21,12,0,8
903,31,18,0,4
902,122,59,0,13
904,38,22,0,3
971,2,0,1,0
972,24,13,0,3
970,19,4,0,6
978,1,0,0,2
965,36,19,0,10
973,58,30,0,6
897,30,18,0,7
946,78,56,0,6
926,84,31,1,10
940,140,78,1,6
982,91,74,1,14
975,137,111,4,22
953,40,67,1,17
956,163,119,2,19
931,175,151,2,17
944,134,94,1,10
984,169,82,3,44
910,102,52,4,45
911,121,74,5,28
919,108,150,2,13
913,6,9,0,2
958,7,6,0,7
999,11,5,0,2
892,5,5,0,1
979,3,3,0,0
974,84,24,0,12
895,5,1,0,1
977,19,6,0,1
986,4,3,0,0
894,1,0,0,0
952,9,2,0,0
980,0,1,0,0
954,0,0,0,0
906,3,3,0,1
907,2,2,0,0
905,13,3,1,3
938,2,14,0,6
923,11,11,0,3
889,31,18,0,1
961,112,70,1,11
955,125,92,3,11
976,36,23,0,5
932,61,42,1,4
948,66,109,0,21
890,63,52,0,16
936,45,33,0,7
947,40,19,0,2
983,48,25,1,1
992,15,12,0,5
925,11,13,0,5
991,6,2,0,0
994,4,8,0,3
995,0,7,0,4
891,83,48,0,12
963,46,42,0,6
957,21,16,0,2
993,16,19,0,0
920,5,3,0,2
949,7,5,0,1
990,9,1,0,0
915,0,1,0,5
927,34,16,0,4
908,2,3,0,0
914,11,24,0,3
922,9,6,0,1
966,40,26,0,2
988,38,25,1,1
942,23,21,1,4
924,50,63,1,1
964,74,53,2,5
935,220,128,4,30
959,282,182,3,34
933,222,74,1,21
899,71,50,0,25
916,79,96,1,18
900,29,26,2,10
937,34,36,0,13
962,50,15,1,4
998,17,20,0,1
997,18,11,2,3
969,10,6,1,0
17775,22,9,0,3
10684,29,17,0,2
10687,41,18,0,4
10691,51,21,0,4
10696,32,19,0,4
10972,13,13,0,3
10989,14,20,0,2
10018,46,35,0,4
10940,32,17,0,3
10938,21,11,0,1
10936,10,9,0,3
10669,7,13,0,6
17532,5,19,0,4
17533,3,16,0,6
13213,3,1,0,0
13214,3,1,0,0
13215,2,0,0,0
17434,2,1,0,0
17435,2,2,0,0
15201,3,3,0,0
15202,3,1,0,0
15198,1,3,1,0
15199,1,4,1,0
13539,8,6,1,1
13540,8,6,0,1
15196,8,6,0,1
13542,5,6,0,0
13543,0,3,0,1
13544,0,0,0,1
13525,1,0,0,2
17853,88,64,1,5
11612,53,61,2,12
11613,61,73,1,14
11616,63,60,0,16
11650,34,36,0,13
11647,22,22,0,12
11645,25,13,0,7
16838,51,16,0,4
11370,33,13,1,1
11366,14,9,1,0
11365,11,9,1,0
11363,19,22,0,1
11376,26,23,1,2
11373,35,27,1,2
11375,32,16,1,2
16058,15,2,1,0
11382,14,4,1,0
11394,11,1,0,0
11395,8,1,0,0
11393,12,6,1,0
11391,11,6,1,0
11390,13,6,1,0
16875,103,81,4,17
11930,81,58,2,7
13562,41,22,1,1
13563,37,22,1,2
13564,30,39,0,6
13565,34,29,0,10
13566,12,14,0,5
13567,33,18,0,0
15824,27,14,0,0
13568,34,15,0,0
13549,3,1,3,2
13550,9,4,1,5
13551,24,9,0,1
13638,4,2,0,0
13639,2,3,0,0
13640,4,4,0,0
13656,16,12,0,1
13643,19,11,0,1
13644,5,7,0,1
13645,6,1,0,1
13646,4,0,0,1
13647,0,0,0,0
13962,2,0,0,0
16051,2,0,0,0
16044,5,0,0,0
16045,5,0,0,0
16048,25,4,0,2
13666,20,5,0,1
16049,17,5,0,0
13668,14,5,0,0
13669,21,6,2,3
13670,46,17,0,8
13671,77,30,0,9
15877,18,9,0,1
15878,25,15,0,2
15879,35,18,0,2
15893,34,19,0,2
15880,24,12,0,1
15881,11,9,1,1
15882,8,2,2,2
15883,3,1,3,2
15884,4,1,1,0
15894,17,6,0,0
14884,5,2,0,5
12311,11,13,0,5
12302,21,18,0,5
17157,17,19,0,5
17158,15,12,0,5
11986,34,18,1,2
17303,36,17,1,2
12280,14,17,0,5
12016,3,2,0,0
12017,1,1,0,0
12018,5,3,0,0
11728,12,5,0,1
11723,26,15,0,5
11714,44,22,0,10
11745,31,18,0,13
11747,6,2,1,9
12029,11,9,0,2
12036,13,21,1,1
12043,37,21,1,2
12357,16,12,0,1
12359,2,6,0,1
12362,2,1,0,1
13533,2,3,1,0
13538,2,5,1,0
15624,33,35,0,3
12119,24,25,0,3
12116,32,29,0,1
12084,31,20,0,2
12366,48,31,0,4
12370,45,30,0,3
12386,12,7,0,1
12389,0,0,0,0
12628,20,6,0,5
12633,19,7,0,5
12632,17,8,0,3
12631,15,7,0,3
12630,2,0,0,1
12629,4,0,0,1
12612,3,3,0,1
12617,3,7,0,1
12618,13,10,0,1
12817,10,10,0,1
12819,11,6,0,1
12824,3,1,0,0
12907,0,3,0,0
12914,0,3,0,0
12916,2,5,0,0
12919,2,5,0,0
12920,2,4,0,0
17749,2,4,0,3
17750,2,4,0,3
17751,2,0,0,0
14323,0,2,0,0
14856,0,2,0,0
13735,3,3,0,2
13736,13,2,0,0
13737,12,1,0,0
16987,9,0,0,0
13738,18,3,0,0
13739,18,8,0,2
13733,15,6,0,2
16988,15,6,0,3
13158,27,28,1,2
13159,22,33,0,4
13160,10,22,0,6
13161,9,19,1,1
13162,8,5,0,3
15376,9,25,1,7
11167,29,67,0,6
11160,31,52,0,4
11148,17,9,0,1
11147,7,9,0,2
10817,16,18,0,5
10841,22,27,2,5
15638,46,39,1,6
10832,77,51,2,6
10827,83,51,1,5
10859,53,38,1,3
10595,20,13,0,2
10596,30,14,0,4
10586,23,15,0,3
10625,16,14,0,5
10627,15,18,0,1
15632,15,17,0,1
10525,13,16,0,4
10653,2,13,0,5
11497,292,159,1,31
11502,289,176,3,35
14187,266,141,3,27
11484,179,114,5,17
11477,143,104,4,10
11225,98,67,3,8
11194,148,148,6,10
11176,139,96,5,29
11171,103,84,4,18
10855,50,56,2,10
10848,44,40,1,9
10824,70,49,1,6
10820,68,42,1,8
10560,50,34,0,5
10556,46,23,0,7
10548,40,25,0,6
10540,39,22,0,3
10341,16,13,0,0
10336,4,7,0,0
10205,8,5,0,1
10200,7,4,0,1
12984,10,9,0,1
13281,8,2,0,0
13284,9,2,0,0
13283,11,5,0,0
13285,8,10,0,0
13286,4,8,0,1
13149,25,13,0,4
13296,55,21,0,7
13752,54,22,0,6
17689,56,23,0,8
13289,46,22,1,8
13290,27,10,0,3
13291,1,0,0,0
13292,0,0,0,0
13293,3,4,0,1
13294,8,8,0,3
13295,11,1,0,6
10214,8,4,0,5
19825,9,1,0,0
15852,2,0,0,0
15939,2,0,0,0
13963,2,1,0,0
13964,15,12,0,2
15853,30,15,0,2
13626,8,7,0,1
13627,20,10,0,1
13657,17,14,0,1
15910,1,2,2,1
15900,8,2,2,2
13683,10,2,2,3
15122,6,6,2,3
15957,39,18,2,2
14029,34,17,2,2
14030,39,18,1,1
14031,60,28,0,0
14032,58,24,0,1
13524,75,36,0,2
13600,43,26,0,3
13932,73,30,0,9
13933,64,22,0,6
13934,46,15,0,4
13853,17,8,0,3
13935,0,3,0,0
13936,1,1,0,0
13937,5,0,0,0
13938,2,0,0,0
13939,2,0,0,0
13940,15,11,1,1
13941,52,21,2,6
13942,28,14,0,2
14999,16,8,0,0
17004,7,1,2,0
14551,2,1,1,0
13880,1,0,0,0
17926,1,0,0,0
13327,0,1,0,0
17722,0,2,0,9
13328,1,3,0,9
13329,5,5,2,7
13330,5,3,2,0
13331,4,2,2,0
10188,4,1,0,3
10041,1,1,0,0
10038,1,0,0,0
10036,0,0,0,0
10043,0,0,0,0
15157,0,0,0,0
10185,1,2,0,0
10183,2,2,0,0
10180,1,0,0,0
10174,1,0,0,0
10071,0,0,0,0
10074,1,1,0,0
10076,2,4,0,0
18457,1,4,0,0
10254,2,2,0,1
17531,3,3,0,1
16999,6,2,0,0
10261,5,3,1,1
10389,3,3,2,0
10393,3,3,1,0
10404,4,5,0,0
10416,17,13,0,1
10424,30,20,0,1
10614,23,17,0,0
10623,24,14,0,3
10592,31,29,0,4
10585,44,41,0,6
15426,32,28,1,6
15427,37,34,1,7
12285,26,39,1,7
12004,14,13,0,5
12006,10,5,0,2
12002,1,0,0,0
12001,0,0,0,0
11998,7,0,0,0
11994,11,2,0,1
11687,6,3,0,1
17334,7,1,0,0
17335,6,2,0,0
11689,7,7,0,1
11693,5,6,0,0
11692,4,6,0,0
11698,4,5,0,0
11695,0,0,0,0
11677,8,1,0,0
11381,20,5,1,0
16792,27,15,2,4
13137,10,3,3,1
11049,10,3,3,0
11054,11,3,2,0
11052,8,2,1,0
11053,8,6,1,0
13312,9,6,1,0
11387,2,5,0,0
17437,2,3,0,0
17438,2,5,0,0
17440,6,5,1,0
17439,2,5,0,0
10323,3,3,0,0
10471,1,1,1,5
10473,2,2,3,5
17171,2,7,1,2
10481,10,10,0,5
10725,9,6,0,7
10703,15,12,2,12
10701,20,13,3,16
14904,15,12,2,4
10716,14,8,0,3
10721,25,14,0,2
10723,33,12,0,3
11013,34,14,0,3
11015,20,11,0,0
10992,7,7,0,0
11003,11,15,0,2
11006,26,40,0,5
11009,58,66,1,5
11320,51,51,2,3
11322,25,18,0,5
17614,64,51,2,1
11574,121,99,2,9
11572,113,94,2,7
11532,77,75,0,9
11541,130,90,1,10
11547,230,129,2,28
11500,279,173,3,31
11515,226,146,3,31
11794,223,142,1,37
11798,204,93,1,23
11816,96,60,2,17
11823,53,45,1,7
12094,48,66,1,6
12099,55,56,0,6
12108,35,40,0,4
14872,20,21,0,2
14873,32,22,0,2
14874,43,26,0,3
14869,33,21,0,2
17585,101,72,2,2
12484,53,49,0,3
12483,34,36,0,3
12481,36,39,0,3
