"Età (classi funzionali)";"NIL (Nuclei di Identità Locale)";"Residenti"
"0-2 anni";"Duomo (1)";315
"0-2 anni";"Brera (2)";375
"0-2 anni";"Giardini P.ta Venezia (3)";1
"0-2 anni";"Guastalla (4)";313
"0-2 anni";"Porta Vigentina - Porta Lodovica (5)";264
"0-2 anni";"Porta Ticinese - Conca del Naviglio (6)";387
"0-2 anni";"Magenta - S.Vittore (7)";379
"0-2 anni";"Porta Garibaldi - Porta Nuova (9)";135
"0-2 anni";"Stazione Centrale - Ponte Seveso (10)";362
"0-2 anni";"Isola (11)";541
"0-2 anni";"Maciachini - Maggiolina (12)";497
"0-2 anni";"Greco - Segnano (13)";341
"0-2 anni";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";654
"0-2 anni";"Bicocca (15)";213
"0-2 anni";"Gorla - Precotto (16)";648
"0-2 anni";"Adriano (17)";441
"0-2 anni";"Cimiano - Rottole - Q.re Feltre (18)";358
"0-2 anni";"Padova - Turro - Crescenzago (19)";805
"0-2 anni";"Loreto - Casoretto - NoLo (20)";908
"0-2 anni";"Buenos Aires - Porta Venezia - Porta Monforte (21)";1315
"0-2 anni";"Citta' studi (22)";698
"0-2 anni";"Lambrate - Ortica (23)";272
"0-2 anni";"Parco Forlanini - Cavriano (24)";37
"0-2 anni";"Corsica (25)";436
"0-2 anni";"XXII Marzo (26)";689
"0-2 anni";"Pta Romana (27)";369
"0-2 anni";"Umbria - Molise - Calvairate (28)";523
"0-2 anni";"Ortomercato (29)";84
"0-2 anni";"Taliedo - Morsenchio - Q.re Forlanini (30)";412
"0-2 anni";"Monlue' - Ponte Lambro (31)";120
"0-2 anni";"Triulzo Superiore (32)";53
"0-2 anni";"Rogoredo - Santa Giulia (33)";307
"0-2 anni";"Chiaravalle (34)";14
"0-2 anni";"Lodi - Corvetto (35)";811
"0-2 anni";"Scalo Romana (36)";296
"0-2 anni";"Morivione (37)";158
"0-2 anni";"Vigentino - Q.re Fatima (38)";356
"0-2 anni";"Quintosole (39)";4
"0-2 anni";"Ronchetto delle Rane (40)";14
"0-2 anni";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";340
"0-2 anni";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";593
"0-2 anni";"Tibaldi (43)";240
"0-2 anni";"Porta Ticinese - Conchetta (44)";360
"0-2 anni";"Moncucco - San Cristoforo (45)";307
"0-2 anni";"Barona (46)";321
"0-2 anni";"Cantalupa (47)";18
"0-2 anni";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";271
"0-2 anni";"Giambellino (49)";687
"0-2 anni";"Porta Genova (50)";301
"0-2 anni";"Porta Magenta (51)";566
"0-2 anni";"Bande Nere (52)";908
"0-2 anni";"Lorenteggio (53)";328
"0-2 anni";"Muggiano (54)";56
"0-2 anni";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";559
"0-2 anni";"Forze Armate (56)";479
"0-2 anni";"San Siro (57)";702
"0-2 anni";"De Angeli - Monte Rosa (58)";450
"0-2 anni";"Tre Torri (59)";64
"0-2 anni";"Stadio - Ippodromi (60)";226
"0-2 anni";"Quarto Cagnino (61)";202
"0-2 anni";"Quinto Romano (62)";69
"0-2 anni";"Figino (63)";63
"0-2 anni";"Trenno (64)";61
"0-2 anni";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";541
"0-2 anni";"QT 8 (66)";78
"0-2 anni";"Portello (67)";225
"0-2 anni";"Pagano (68)";359
"0-2 anni";"Sarpi (69)";694
"0-2 anni";"Ghisolfa (70)";424
"0-2 anni";"Villapizzone - Cagnola - Boldinasco (71)";928
"0-2 anni";"Maggiore - Musocco - Certosa (72)";297
"0-2 anni";"Cascina Merlata (73)";3
"0-2 anni";"Roserio (74)";3
"0-2 anni";"Stephenson (75)";2
"0-2 anni";"Quarto Oggiaro - Vialba - Musocco (76)";597
"0-2 anni";"Bovisa (77)";311
"0-2 anni";"Farini (78)";80
"0-2 anni";"Dergano (79)";530
"0-2 anni";"Affori (80)";544
"0-2 anni";"Bovisasca (81)";148
"0-2 anni";"Comasina (82)";257
"0-2 anni";"Bruzzano (83)";270
"0-2 anni";"Parco delle Abbazie (85)";18
"0-2 anni";"Parco dei Navigli (86)";18
"0-2 anni";"Assiano (87)";2
"0-2 anni";"Parco Bosco in citta' (88)";15
"3-5 anni";"Duomo (1)";346
"3-5 anni";"Brera (2)";432
"3-5 anni";"Giardini P.ta Venezia (3)";1
"3-5 anni";"Guastalla (4)";329
"3-5 anni";"Porta Vigentina - Porta Lodovica (5)";272
"3-5 anni";"Porta Ticinese - Conca del Naviglio (6)";407
"3-5 anni";"Magenta - S.Vittore (7)";438
"3-5 anni";"Porta Garibaldi - Porta Nuova (9)";139
"3-5 anni";"Stazione Centrale - Ponte Seveso (10)";370
"3-5 anni";"Isola (11)";537
"3-5 anni";"Maciachini - Maggiolina (12)";563
"3-5 anni";"Greco - Segnano (13)";403
"3-5 anni";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";736
"3-5 anni";"Bicocca (15)";271
"3-5 anni";"Gorla - Precotto (16)";727
"3-5 anni";"Adriano (17)";490
"3-5 anni";"Cimiano - Rottole - Q.re Feltre (18)";434
"3-5 anni";"Padova - Turro - Crescenzago (19)";882
"3-5 anni";"Loreto - Casoretto - NoLo (20)";947
"3-5 anni";"Buenos Aires - Porta Venezia - Porta Monforte (21)";1363
"3-5 anni";"Citta' studi (22)";713
"3-5 anni";"Lambrate - Ortica (23)";324
"3-5 anni";"Parco Forlanini - Cavriano (24)";34
"3-5 anni";"Corsica (25)";463
"3-5 anni";"XXII Marzo (26)";718
"3-5 anni";"Pta Romana (27)";384
"3-5 anni";"Umbria - Molise - Calvairate (28)";591
"3-5 anni";"Ortomercato (29)";103
"3-5 anni";"Taliedo - Morsenchio - Q.re Forlanini (30)";476
"3-5 anni";"Monlue' - Ponte Lambro (31)";146
"3-5 anni";"Triulzo Superiore (32)";64
"3-5 anni";"Rogoredo - Santa Giulia (33)";334
"3-5 anni";"Chiaravalle (34)";12
"3-5 anni";"Lodi - Corvetto (35)";884
"3-5 anni";"Scalo Romana (36)";325
"3-5 anni";"Morivione (37)";161
"3-5 anni";"Vigentino - Q.re Fatima (38)";400
"3-5 anni";"Quintosole (39)";5
"3-5 anni";"Ronchetto delle Rane (40)";13
"3-5 anni";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";369
"3-5 anni";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";655
"3-5 anni";"Tibaldi (43)";226
"3-5 anni";"Porta Ticinese - Conchetta (44)";433
"3-5 anni";"Moncucco - San Cristoforo (45)";356
"3-5 anni";"Barona (46)";346
"3-5 anni";"Cantalupa (47)";18
"3-5 anni";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";277
"3-5 anni";"Giambellino (49)";763
"3-5 anni";"Porta Genova (50)";339
"3-5 anni";"Porta Magenta (51)";619
"3-5 anni";"Bande Nere (52)";1001
"3-5 anni";"Lorenteggio (53)";370
"3-5 anni";"Muggiano (54)";64
"3-5 anni";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";725
"3-5 anni";"Forze Armate (56)";631
"3-5 anni";"San Siro (57)";797
"3-5 anni";"De Angeli - Monte Rosa (58)";516
"3-5 anni";"Tre Torri (59)";77
"3-5 anni";"Stadio - Ippodromi (60)";290
"3-5 anni";"Quarto Cagnino (61)";240
"3-5 anni";"Quinto Romano (62)";69
"3-5 anni";"Figino (63)";84
"3-5 anni";"Trenno (64)";77
"3-5 anni";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";649
"3-5 anni";"QT 8 (66)";94
"3-5 anni";"Portello (67)";256
"3-5 anni";"Pagano (68)";432
"3-5 anni";"Sarpi (69)";826
"3-5 anni";"Ghisolfa (70)";444
"3-5 anni";"Villapizzone - Cagnola - Boldinasco (71)";1009
"3-5 anni";"Maggiore - Musocco - Certosa (72)";234
"3-5 anni";"Roserio (74)";3
"3-5 anni";"Stephenson (75)";5
"3-5 anni";"Quarto Oggiaro - Vialba - Musocco (76)";744
"3-5 anni";"Bovisa (77)";363
"3-5 anni";"Farini (78)";87
"3-5 anni";"Dergano (79)";601
"3-5 anni";"Affori (80)";643
"3-5 anni";"Bovisasca (81)";172
"3-5 anni";"Comasina (82)";287
"3-5 anni";"Bruzzano (83)";335
"3-5 anni";"Parco Nord (84)";2
"3-5 anni";"Parco delle Abbazie (85)";27
"3-5 anni";"Parco dei Navigli (86)";9
"3-5 anni";"Assiano (87)";8
"3-5 anni";"Parco Bosco in citta' (88)";19
"6-10 anni";"Duomo (1)";729
"6-10 anni";"Brera (2)";780
"6-10 anni";"Giardini P.ta Venezia (3)";2
"6-10 anni";"Guastalla (4)";625
"6-10 anni";"Porta Vigentina - Porta Lodovica (5)";566
"6-10 anni";"Porta Ticinese - Conca del Naviglio (6)";689
"6-10 anni";"Magenta - S.Vittore (7)";792
"6-10 anni";"Porta Garibaldi - Porta Nuova (9)";229
"6-10 anni";"Stazione Centrale - Ponte Seveso (10)";658
"6-10 anni";"Isola (11)";851
"6-10 anni";"Maciachini - Maggiolina (12)";981
"6-10 anni";"Greco - Segnano (13)";691
"6-10 anni";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";1443
"6-10 anni";"Bicocca (15)";404
"6-10 anni";"Gorla - Precotto (16)";1272
"6-10 anni";"Adriano (17)";834
"6-10 anni";"Cimiano - Rottole - Q.re Feltre (18)";736
"6-10 anni";"Padova - Turro - Crescenzago (19)";1535
"6-10 anni";"Loreto - Casoretto - NoLo (20)";1601
"6-10 anni";"Buenos Aires - Porta Venezia - Porta Monforte (21)";2345
"6-10 anni";"Citta' studi (22)";1286
"6-10 anni";"Lambrate - Ortica (23)";532
"6-10 anni";"Parco Forlanini - Cavriano (24)";58
"6-10 anni";"Corsica (25)";798
