lat,lon,geometry,pois_type,pois_specific,pois_f,category
45.4636,9.150272,POINT (9.150272369384766 45.46360015869141),amenity,place_of_worship,amenity,leisure
45.45576,9.138,POINT (9.137999534606934 45.45576095581055),amenity,place_of_worship,amenity,leisure
45.4613,9.154473,POINT (9.154473304748535 45.46129989624023),amenity,restaurant,amenityfood,food
45.452396,9.15463,POINT (9.154629707336426 45.45239639282227),amenity,cinema,amenity,leisure
45.46043,9.175277,POINT (9.175276756286621 45.46043014526367),shop,lighting,shop,leisure
45.531357,9.222224,POINT (9.222224235534668 45.53135681152344),shop,car,shop,leisure
45.570843,9.190426,POINT (9.190425872802734 45.57084274291992),shop,tyres,shop,leisure
45.46046,9.155002,POINT (9.155001640319824 45.4604606628418),shop,bakery,shop,leisure
45.461636,9.138043,POINT (9.138043403625488 45.46163558959961),amenity,pub,amenityfood,food
45.48501,9.005277,POINT (9.005276679992676 45.48500823974609),amenity,place_of_worship,amenity,leisure
45.476627,9.2275,POINT (9.227499961853027 45.47662734985352),school,university,school,school
45.459385,9.133576,POINT (9.133576393127441 45.45938491821289),amenity,place_of_worship,amenity,leisure
45.561024,9.228577,POINT (9.22857666015625 45.5610237121582),shop,supermarket,shop,leisure
45.52194,9.216144,POINT (9.216143608093262 45.52193832397461),amenity,cinema,amenity,leisure
45.49969,9.208385,POINT (9.208385467529297 45.49969100952148),leisure,swimming_pool,leisure,leisure
45.447586,9.142001,POINT (9.142001152038574 45.44758605957031),shop,supermarket,shop,leisure
45.450447,9.204457,POINT (9.20445728302002 45.45044708251953),amenity,place_of_worship,amenity,leisure
45.465122,9.192365,POINT (9.192364692687988 45.46512222290039),amenity,cinema,amenity,leisure
45.465595,9.1979,POINT (9.19789981842041 45.46559524536133),amenity,fast_food,amenityfood,food
45.48057,9.187876,POINT (9.187875747680664 45.48057174682617),shop,mall,shop,leisure
45.488144,9.162351,POINT (9.162350654602051 45.48814392089844),shop,newsagent,shop,leisure
45.487915,9.165546,POINT (9.165546417236328 45.4879150390625),shop,newsagent,shop,leisure
45.478844,9.18273,POINT (9.182729721069336 45.47884368896484),amenity,place_of_worship,amenity,leisure
45.475143,9.189336,POINT (9.189335823059082 45.47514343261719),amenity,place_of_worship,amenity,leisure
45.45516,9.156672,POINT (9.156671524047852 45.45515823364258),amenity,place_of_worship,amenity,leisure
45.487988,9.241803,POINT (9.241803169250488 45.48798751831055),shop,supermarket,shop,leisure
45.486458,9.237513,POINT (9.237512588500977 45.48645782470703),shop,kiosk,shop,leisure
45.486023,9.233585,POINT (9.233585357666016 45.48602294921875),shop,newsagent,shop,leisure
45.490143,9.145401,POINT (9.145401000976563 45.49014282226563),shop,supermarket,shop,leisure
45.496635,9.151146,POINT (9.151145935058594 45.49663543701172),amenity,place_of_worship,amenity,leisure
45.496216,9.150107,POINT (9.150107383728027 45.4962158203125),shop,newsagent,shop,leisure
45.499004,9.19689,POINT (9.196889877319336 45.49900436401367),shop,newsagent,shop,leisure
45.505642,9.424515,POINT (9.424514770507813 45.50564193725586),shop,newsagent,shop,leisure
45.505665,9.424944,POINT (9.424943923950195 45.50566482543945),leisure,playground,leisure,leisure
45.50129,9.430696,POINT (9.430695533752441 45.50128936767578),shop,supermarket,shop,leisure
45.501343,9.4302225,POINT (9.430222511291504 45.5013427734375),shop,newsagent,shop,leisure
45.50174,9.429527,POINT (9.429527282714844 45.50173950195313),leisure,playground,leisure,leisure
45.501995,9.431331,POINT (9.431330680847168 45.50199508666992),leisure,playground,leisure,leisure
45.50703,9.420412,POINT (9.420412063598633 45.50703048706055),leisure,playground,leisure,leisure
45.50638,9.429422,POINT (9.429422378540039 45.50637817382813),shop,supermarket,shop,leisure
