id_amat,nome
889,TRE TORRI
890,ZARA
891,WAGNER
892,VIMODRONE
893,VILLA S.G.
894,VILLA POMPEA
895,VILLA FIORITA
896,URUGUAY
897,UDINE
898,TURRO
899,TURATI
900,SONDRIO
901,S.LEONARDO
902,SESTO RONDO
903,SESTO MARELLI
904,SESTO 1 MAGGIO FS
905,SEGESTA
906,SAN SIRO STADIO
907,SAN SIRO IPPODROMO
908,SAN DONATO
909,SAN BABILA
910,S.AMBROGIO
911,S.AGOSTINO
912,ROVERETO
913,ROMOLO
914,ROGOREDO FS
915,RHO FIERAMILANO
916,REPUBBLICA
917,QT8
918,P.TA VENEZIA
919,P.TA GENOVA F.S.
920,PRIMATICCIO
921,PRECOTTO
922,PORTO DI MARE
923,PORTELLO
924,PORTA ROMANA
925,PONALE
926,PIOLA
927,PERO
928,PASTEUR
929,PALESTRO
930,PAGANO
931,MOSCOVA
932,MONUMENTALE
933,MONTENAPOLEONE
934,MOLINO DORINO
935,MISSORI
936,MARCHE
937,MACIACHINI
938,LOTTO M5
939,LOTTO FIERAMILANOCITY
940,LORETO M2
941,LORETO M1
942,LODI T.I.B.B.
943,LIMA
944,LANZA
945,LAMPUGNANO
946,LAMBRATE FS
947,ISTRIA
948,ISOLA
949,INGANNI
951,GORLA
952,GORGONZOLA
953,GIOIA
954,GESSATE
955,GERUSALEMME
956,GARIBALDI FS
957,GAMBARA
958,FAMAGOSTA
959,DUOMO M3
960,DUOMO M1
961,DOMODOSSOLA
962,DERGANO
963,DE ANGELI
964,CROCETTA
965,CRESCENZAGO
966,CORVETTO
967,CORDUSIO
968,CONCILIAZIONE
969,COMASINA
970,COLOGNO SUD
971,COLOGNO NORD
972,COLOGNO CENTRO
973,CIMIANO
974,CERNUSCO SUL NAVIGLIO
975,CENTRALE FS
976,CENISIO
977,CASSINA DE PECCHI
978,CASCINA GOBBA
979,CASCINA BURRONA
980,CASCINA ANTONIETTA
981,CAIROLI
982,CAIAZZO
983,CA GRANDA
984,CADORNA FN M2
985,CADORNA FN M1
986,BUSSERO
987,BUONARROTI
988,BRENTA
989,BONOLA
990,BISCEGLIE
991,BIGNAMI
992,BICOCCA
993,BANDE NERE
994,ASSAGO MILANOFIORI NORD
995,ASSAGO MILANOFIORI FORUM
996,AMENDOLA
997,AFFORI FN
998,AFFORI CENTRO
999,ABBIATEGRASSO
10001,"Via Matteotti, 19 prima di Via Cavour"
10002,"Via Cavour, 32/e dopo Via Morandi (ACI)"
10003,"Via Bovisasca, 18 dopo Via C.Battisti"
10008,"Via Bovisasca, 15/A prima di Via Baracca"
10009,Via Rimembranze prima di Via Cornicione
10018,"C.so Sempione, 83 prima di Via E. Filiberto"
10021,Viale Alfa Romeo fronte civico 17
10022,Via Mosca prima V.Val Cavallina
10023,Via Mosca prima di Via Spinazzola
10024,"Via Mosca, 42 dopo Via Spinazzola"
10025,Viale Alfa Romeo dopo Museo Alfa Romeo
10026,Via Bergognone dopo via Foppa
10027,Via dei Salici dopo 6
10028,"Via degli Ontani, 26 dopo Via degli Ulivi"
10029,Via dei Salici dopo Via degli Ippocastani
10030,"Via Fermi, 19"
10031,"Via Fermi, 17"
10032,Via Fermi prima di Via Galvani
10033,Via Fermi prima di Via Ampere
10034,"Via Fermi, 31 dopo Via Einstein"
10035,Via Fermi dopo di Via Volta
10036,Via Turbigo prima di Via Novara
10037,Via Novara prima di Via Novara
10038,"Via Zanzottera, prima di Via Anghileri"
10040,Via Bergognone prima di Via Foppa
10041,Via Morelli dopo Via Silla
10043,Via Novara altezza ingresso (Parco auto rimosse)
10046,"Via Valsesia, 66"
10047,Via Valsesia fronte 66
10048,"Via Valsesia, 44"
10049,Via Valsesia fronte 44
10050,"Via Valsesia, 34 dopo Via Nitti"
10051,Via Valsesia fronte 34 prima di Via Nitti
10052,Via Lucca fronte 58 dopo Via Viterbo
10053,Via Lucca prima di Via Viterbo
10054,"Via Lucca, 46"
10055,Via Lucca fronte 44
10057,Via Cividale del Friuli dopo Via Valsesia
10059,"Via Forze Armate, 333 dopo Via Palmi"
10060,"Via Forze Armate, 328 prima di Via F.lli di Dio"
10061,"Via Cividale del Friuli, 3 prima di Via Mar Nero"
10062,Via Cividale del Friuli dopo Via Forze Armate
10063,Via Forze Armate fronte 312 prima di Via C. del Friuli
10064,"Via Forze Armate, 312 dopo Via Cancano"
10065,"Via Forze Armate, 260 dopo Via Nikolajevka"
10066,Via Forze Armate dopo Via Nikolajevka
10067,"Via Sella Nuova, 4 dopo Via Forze Armate"
10068,"Via Sella Nuova, 11 prima di Via Forze Armate"
10069,"Via Forze Armate, 234 prima di Via Barocco"
10070,"Via Forze Armate, 241 dopo Via Sella Nuova"
10071,"Via Caldera, 65"
10072,Via Caldera fronte 65
10073,Via Caldera dopo Via Novara
10074,"Via Caldera, 1 prima di Via Novara"
10075,Via Cascina Bellaria fronte 90
10076,Via Novara fronte 228 prima di Via Luigi Zoja
10077,Via Milly prima di Via Marchesi
10078,"Via Milly, 6 dopo Via Marchesi"
10079,"Via Cascina Bellaria, 90"
10080,"Via Milly, 9"
10081,Via Milly fronte 9
10082,Via L.Zoia dopo Via F.lli Zoia
10083,Via L.Zoia prima di Via F.lli Zoia
10084,Via Novara fronte 201 prima di Via C.na Bellaria
10085,Via Pio II prima di Via F.lli Zoia
10086,Via F.lli Zoia fronte 105 prima di Via Rossellini
10087,Via Marchesi dopo 9 prima di Via F.lli Zoia
10089,Via Cannizzaro dopo Via C.Marx
10090,"Via F.lli Gorlini, 43 prima di P.za Scolari"
10091,Via F.lli Gorlini fronte 7
10092,"Via F.lli Gorlini, 7"
10093,"Via F.lli Gorlini, 40 fronte P.za Scolari"
10094,Via G.Balla prima di Via Rizzardi
10095,"Via Lampugnano, 163 dopo Via Angioletti"
10096,Via Angioletti fronte 1 dopo Via Lampugnano
10097,Via Lampugnano dopo Via Mafalda di Savoia
10098,Via M. di Savoia dopo Via Lampugnano
10099,"Via Cilea, 119"
10100,"Via Cilea, 150"
10101,Via Cilea prima di Via Fichera
10102,Via Cilea dopo Via Fichera
10103,Via Cilea fronte 106
10104,Via Fichera dopo Via Falck
10105,"Via Cilea, 106"
10106,Via Falck dopo Via Fichera
10107,Via Appenini fronte 153
10108,"Via Cilea, 70"
10109,"Via Appennini, 149"
10110,Via Cilea dopo fronte 50
10111,"Via Appennini, 97 prima di Via Alex Visconti"
10112,Via Appenini fronte 103
10113,Via Betti (Bonola M1)
10114,Via Betti (Bonola M1)
10115,Via Betti (Bonola M1)
10116,Via Cilea prima di Via Bacchelli
10117,Via Cilea dopo Via Falck
10118,"Via Appennini, 7 prima di Via Quarenghi"
10119,Via Appennini fronte 7/a dopo Via Quarenghi
10120,Via Appenini fronte 43
10121,"Via Appennini, 43"
10122,Via Cechov dopo distributore Shell
10123,Via Quarenghi fronte 41
10124,"Via Appenini, 179"
10125,Via Appenini fronte 179
10126,Campo 92
10127,Campo 91
10128,"Via degli Ontani, 1 prima di Via degli Ulivi"
