stop_id,nil
990,FORZE ARMATE
949,FORZE ARMATE
920,FORZE ARMATE
993,BANDE NERE
957,BANDE NERE
963,DE ANGELI - MONTE ROSA
891,PAGANO
930,PAGANO
968,MAGENTA - S.VITTORE
985,MAGENTA - S.VITTORE
981,BRERA
967,BRERA
960,DUOMO
909,DUOMO
929,GUASTALLA
918,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
943,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
941,LORETO - CASORETTO - NOLO
928,LORETO - CASORETTO - NOLO
912,LORETO - CASORETTO - NOLO
898,PADOVA - TURRO - CRESCENZAGO
951,GORLA - PRECOTTO
921,GORLA - PRECOTTO
893,GORLA - PRECOTTO
934,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
901,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
989,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
896,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
945,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO
917,QT 8
939,DE ANGELI - MONTE ROSA
996,DE ANGELI - MONTE ROSA
987,DE ANGELI - MONTE ROSA
999,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
958,MONCUCCO - SAN CRISTOFORO
913,PORTA TICINESE - CONCHETTA
919,PORTA GENOVA
911,MAGENTA - S.VITTORE
910,MAGENTA - S.VITTORE
984,DUOMO
944,BRERA
931,BRERA
956,PORTA GARIBALDI - PORTA NUOVA
953,PORTA GARIBALDI - PORTA NUOVA
975,STAZIONE CENTRALE - PONTE SEVESO
982,STAZIONE CENTRALE - PONTE SEVESO
940,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE
926,CITTA' STUDI
946,CITTA' STUDI
897,CIMIANO - ROTTOLE - Q.RE FELTRE
973,PADOVA - TURRO - CRESCENZAGO
965,PADOVA - TURRO - CRESCENZAGO
978,CIMIANO - ROTTOLE - Q.RE FELTRE
969,BRUZZANO
997,BOVISASCA
998,AFFORI
962,DERGANO
937,DERGANO
890,ISOLA
900,MACIACHINI - MAGGIOLINA
916,STAZIONE CENTRALE - PONTE SEVESO
899,BRERA
933,BRERA
959,DUOMO
935,DUOMO
964,GUASTALLA
924,PTA ROMANA
942,UMBRIA - MOLISE - CALVAIRATE
988,LODI - CORVETTO
966,LODI - CORVETTO
922,LODI - CORVETTO
914,LODI - CORVETTO
908,TRIULZO SUPERIORE
991,NIGUARDA - CA GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI
925,NIGUARDA - CA GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI
992,NIGUARDA - CA GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI
983,NIGUARDA - CA GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI
947,MACIACHINI - MAGGIOLINA
936,MACIACHINI - MAGGIOLINA
948,ISOLA
932,SARPI
976,GHISOLFA
955,SARPI
961,PORTELLO
889,TRE TORRI
923,PORTELLO
938,DE ANGELI - MONTE ROSA
905,STADIO - IPPODROMI
907,SAN SIRO
906,STADIO - IPPODROMI
14909,ROSERIO
10471,QUARTO OGGIARO - VIALBA - MUSOCCO
10473,QUARTO OGGIARO - VIALBA - MUSOCCO
17171,QUARTO OGGIARO - VIALBA - MUSOCCO
10481,QUARTO OGGIARO - VIALBA - MUSOCCO
10725,QUARTO OGGIARO - VIALBA - MUSOCCO
10703,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10701,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10708,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10682,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10686,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10689,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10694,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10978,GHISOLFA
10945,SARPI
10953,PORTELLO
10960,SARPI
11281,PAGANO
11283,PAGANO
11287,PAGANO
11262,SARPI
11258,PAGANO
11252,PAGANO
11256,MAGENTA - S.VITTORE
11263,MAGENTA - S.VITTORE
11270,MAGENTA - S.VITTORE
11522,DUOMO
11536,BRERA
11546,BRERA
11497,BRERA
11509,BRERA
11557,BRERA
11560,BRERA
11830,BRERA
11840,BRERA
11838,BRERA
11876,STAZIONE CENTRALE - PONTE SEVESO
11882,STAZIONE CENTRALE - PONTE SEVESO
11886,STAZIONE CENTRALE - PONTE SEVESO
11892,STAZIONE CENTRALE - PONTE SEVESO
12172,STAZIONE CENTRALE - PONTE SEVESO
12175,STAZIONE CENTRALE - PONTE SEVESO
12183,STAZIONE CENTRALE - PONTE SEVESO
12242,LORETO - CASORETTO - NOLO
12245,LORETO - CASORETTO - NOLO
12247,LORETO - CASORETTO - NOLO
12253,LORETO - CASORETTO - NOLO
12254,LORETO - CASORETTO - NOLO
12249,LORETO - CASORETTO - NOLO
12248,LORETO - CASORETTO - NOLO
12246,LORETO - CASORETTO - NOLO
12243,LORETO - CASORETTO - NOLO
12182,STAZIONE CENTRALE - PONTE SEVESO
12180,STAZIONE CENTRALE - PONTE SEVESO
12174,STAZIONE CENTRALE - PONTE SEVESO
11891,STAZIONE CENTRALE - PONTE SEVESO
11888,STAZIONE CENTRALE - PONTE SEVESO
11849,STAZIONE CENTRALE - PONTE SEVESO
11871,STAZIONE CENTRALE - PONTE SEVESO
11837,BRERA
11835,BRERA
11829,BRERA
11558,BRERA
11493,BRERA
11544,BRERA
11535,BRERA
11521,DUOMO
11269,MAGENTA - S.VITTORE
11264,MAGENTA - S.VITTORE
11255,MAGENTA - S.VITTORE
11254,PAGANO
11259,PAGANO
11261,SARPI
11291,SARPI
11282,SARPI
11279,SARPI
10961,SARPI
10957,SARPI
10944,SARPI
10979,GHISOLFA
10965,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10688,VILLAPIZZONE - CAGNOLA - BOLDINASCO
14998,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10685,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10683,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10707,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10705,VILLAPIZZONE - CAGNOLA - BOLDINASCO
14972,VILLAPIZZONE - CAGNOLA - BOLDINASCO
10727,QUARTO OGGIARO - VIALBA - MUSOCCO
10480,QUARTO OGGIARO - VIALBA - MUSOCCO
10474,QUARTO OGGIARO - VIALBA - MUSOCCO
10472,QUARTO OGGIARO - VIALBA - MUSOCCO
14970,ROSERIO
15401,STAZIONE CENTRALE - PONTE SEVESO
17611,STAZIONE CENTRALE - PONTE SEVESO
11929,STAZIONE CENTRALE - PONTE SEVESO
11916,STAZIONE CENTRALE - PONTE SEVESO
15529,STAZIONE CENTRALE - PONTE SEVESO
11879,STAZIONE CENTRALE - PONTE SEVESO
12991,PORTA GARIBALDI - PORTA NUOVA
11863,PORTA GARIBALDI - PORTA NUOVA
11859,PORTA GARIBALDI - PORTA NUOVA
17582,PORTA GARIBALDI - PORTA NUOVA
17326,PORTA GARIBALDI - PORTA NUOVA
17668,SARPI
17612,SARPI
17613,SARPI
11323,GHISOLFA
11297,SARPI
11290,SARPI
11284,SARPI
11249,PAGANO
11245,PAGANO
10899,PAGANO
10896,PORTA MAGENTA
10890,PORTA MAGENTA
11204,MAGENTA - S.VITTORE
11212,MAGENTA - S.VITTORE
11187,MAGENTA - S.VITTORE
11179,PORTA TICINESE - CONCHETTA
11191,PORTA TICINESE - CONCHETTA
11198,PORTA TICINESE - CONCHETTA
17553,PORTA TICINESE - CONCA DEL NAVIGLIO
11199,PORTA TICINESE - CONCHETTA
11190,PORTA TICINESE - CONCHETTA
11182,PORTA TICINESE - CONCHETTA
11193,PORTA TICINESE - CONCHETTA
11184,MAGENTA - S.VITTORE
11203,MAGENTA - S.VITTORE
10893,PORTA MAGENTA
10894,PORTA MAGENTA
10897,PAGANO
11242,PAGANO
11246,PAGANO
11251,PAGANO
11289,SARPI
11296,SARPI
11322,GHISOLFA
17614,SARPI
17615,SARPI
17328,PORTA GARIBALDI - PORTA NUOVA
17329,PORTA GARIBALDI - PORTA NUOVA
17330,PORTA GARIBALDI - PORTA NUOVA
17331,PORTA GARIBALDI - PORTA NUOVA
11860,PORTA GARIBALDI - PORTA NUOVA
11864,PORTA GARIBALDI - PORTA NUOVA
11874,PORTA GARIBALDI - PORTA NUOVA
11880,STAZIONE CENTRALE - PONTE SEVESO
15528,STAZIONE CENTRALE - PONTE SEVESO
11915,STAZIONE CENTRALE - PONTE SEVESO
11930,STAZIONE CENTRALE - PONTE SEVESO
15270,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
16908,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
16909,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
16910,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
16911,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE
16912,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
16913,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
18139,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
11136,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
11137,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
11139,TIBALDI
11163,TIBALDI
11165,PORTA TICINESE - CONCA DEL NAVIGLIO
11419,PORTA TICINESE - CONCA DEL NAVIGLIO
11441,PORTA TICINESE - CONCA DEL NAVIGLIO
11443,PORTA TICINESE - CONCA DEL NAVIGLIO
11451,PORTA TICINESE - CONCA DEL NAVIGLIO
11463,PORTA TICINESE - CONCA DEL NAVIGLIO
11464,DUOMO
11499,DUOMO
16929,DUOMO
11498,DUOMO
11465,DUOMO
11462,PORTA TICINESE - CONCA DEL NAVIGLIO
11452,PORTA TICINESE - CONCA DEL NAVIGLIO
11447,PORTA TICINESE - CONCA DEL NAVIGLIO
11442,PORTA TICINESE - CONCA DEL NAVIGLIO
11169,PORTA TICINESE - CONCA DEL NAVIGLIO
11168,PORTA TICINESE - CONCA DEL NAVIGLIO
11164,TIBALDI
11162,TIBALDI
11138,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
11135,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
16843,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
16901,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
16903,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA
