,0,1
0,990,10211
1,990,10208
2,990,10219
3,990,10209
4,990,10210
5,990,15643
6,990,19825
7,990,17693
8,990,13264
9,990,16353
10,990,17465
11,990,15771
12,990,17538
13,949,10235
14,949,10236
15,949,10239
16,949,10237
17,920,16898
18,920,16893
19,920,10381
20,920,10382
21,993,10387
22,993,10571
23,993,10386
24,957,10576
25,957,10579
26,963,16894
27,963,10635
28,963,12937
29,963,10633
30,963,10585
31,963,10592
32,891,10911
33,891,10910
34,930,16935
35,930,10917
36,930,10916
37,930,10921
38,930,10920
39,930,10922
40,968,11245
41,968,11242
42,968,11244
43,968,11243
44,968,17753
45,968,19617
46,968,11211
47,968,13237
48,968,11250
49,985,984
50,985,11270
51,985,11269
52,985,11275
53,985,16895
54,985,11277
55,985,11273
56,985,11274
57,985,17233
58,985,16757
59,985,11272
60,981,11536
61,981,11535
62,981,15004
63,981,11525
64,981,11524
65,981,16961
66,981,17394
67,981,17393
68,967,11497
69,967,11509
70,967,11493
71,967,11491
72,967,11494
73,967,11492
74,967,11507
75,967,11490
76,960,959
77,960,11503
78,960,11512
79,909,11809
80,909,11842
81,929,11848
82,929,11852
83,918,11857
84,918,11856
85,918,18120
86,943,12187
87,943,12181
88,943,12188
89,943,12186
90,941,12251
91,941,12252
92,941,12257
93,941,17585
94,941,12212
95,941,12256
96,928,12259
97,928,12258
98,912,12263
99,912,12262
100,898,12542
101,898,12540
102,898,12541
103,951,12554
104,951,12558
105,951,12559
106,951,12543
107,951,12557
108,921,12563
109,921,12564
110,921,12561
111,921,12562
112,921,12567
113,921,15648
114,921,15649
115,921,12565
116,893,12581
117,893,12582
118,893,15462
119,893,16762
120,903,12586
121,903,12587
122,903,15040
123,903,15079
124,902,12589
125,902,12588
126,902,13994
127,902,13972
128,902,13973
129,902,15214
130,904,12591
131,904,14013
132,904,14035
133,904,13912
134,904,13600
135,904,13634
136,904,12590
137,904,15862
138,934,10192
139,934,13129
140,934,15100
141,934,16665
142,934,10189
143,934,10188
144,901,10106
145,989,10113
146,989,10115
147,989,15305
148,989,10114
149,989,10294
150,896,10291
151,896,10290
152,945,15300
153,945,15089
154,917,10447
155,917,10638
156,917,16450
157,939,938
158,939,17533
159,939,10652
160,939,10658
161,939,10653
162,939,10644
163,996,10900
164,996,10901
165,996,10902
166,996,16708
167,987,10908
168,987,10907
169,999,18139
170,999,16843
171,999,11130
172,999,11131
173,999,16932
174,999,11132
175,999,11134
176,958,11113
177,958,11114
178,958,15602
179,958,13769
180,958,17085
181,958,13771
182,958,17479
183,913,12943
184,913,16938
185,913,13200
186,913,11146
187,913,17602
188,913,11143
189,913,11145
190,913,11147
191,919,11179
192,919,11182
193,919,11181
194,919,11178
195,919,11177
196,911,11212
197,911,11184
198,911,11175
199,911,17756
200,910,18128
201,910,18127
202,910,17779
203,910,11221
204,984,11270
205,984,11269
206,984,11275
207,984,16895
208,984,11277
209,984,11273
210,984,11274
211,984,16757
212,984,11272
213,944,11542
214,944,11541
215,944,16919
216,944,17392
217,944,11545
218,931,11593
219,931,11592
220,956,17326
221,956,17329
222,956,15671
223,956,15666
224,953,11868
225,953,11869
226,975,11889
227,975,15635
228,975,11890
229,982,12183
230,982,12182
231,982,12185
232,982,12184
233,940,12199
234,940,12209
235,940,12210
236,940,12211
237,940,12212
238,940,12200
239,940,12197
240,926,12487
241,926,12488
242,946,12712
243,946,12700
244,946,12701
245,946,12706
246,946,12709
247,946,12707
248,946,12506
249,946,12507
250,946,12710
251,946,16724
252,946,16723
253,946,16510
254,897,12735
255,897,12731
256,897,12736
257,897,12732
258,897,12730
259,897,13536
260,973,12766
261,973,16915
262,973,12949
263,973,12773
264,973,12771
265,973,12772
266,965,12782
267,965,12783
268,965,15490
269,978,13807
270,978,12898
271,978,12899
272,978,12900
273,978,16767
274,978,13525
275,970,17107
276,970,14144
277,970,17173
278,972,14898
279,972,13900
280,972,13942
281,972,14999
282,971,14551
283,971,15216
284,971,13823
285,971,13880
286,971,13871
287,892,19870
288,892,19871
289,979,14988
290,995,13774
291,995,13409
292,995,16732
293,969,16797
294,969,13312
295,969,16798
296,969,15905
297,969,14967
298,969,16803
299,969,17102
300,997,16799
301,997,16800
302,997,16793
303,998,11363
304,998,17978
305,962,16838
306,962,16837
307,962,11368
308,937,15598
309,937,11649
310,937,15385
311,937,15533
312,937,15384
313,937,11650
314,937,15557
315,937,15436
