Età (classi funzionali),NIL (Nuclei di Identità Locale),Residenti,num,nil_distro
15-24 anni,ADRIANO,2018,17,0.014698277431807422
15-24 anni,AFFORI,2471,80,0.017997742088204233
15-24 anni,ASSIANO,16,87,0.00011653738300739284
15-24 anni,BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA,3264,55,0.02377362613350814
15-24 anni,BANDE NERE,4034,52,0.02938198769073892
15-24 anni,BARONA,1747,46,0.012724425507119705
15-24 anni,BICOCCA,844,15,0.006147346953639972
15-24 anni,BOVISA,1318,77,0.009599766925233986
15-24 anni,BOVISASCA,774,81,0.005637495902982629
15-24 anni,BRERA,1795,2,0.013074037656141884
15-24 anni,BRUZZANO,1262,83,0.00919188608470811
15-24 anni,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,5925,21,0.04315524964492516
15-24 anni,CANTALUPA,64,47,0.00046614953202957134
15-24 anni,CASCINA MERLATA,21,73,0.0001529553151972031
15-24 anni,CHIARAVALLE,99,34,0.0007210750573582432
15-24 anni,CIMIANO - ROTTOLE - Q.RE FELTRE,1880,18,0.01369314250336866
15-24 anni,CITTA' STUDI,3183,22,0.023183655632033215
15-24 anni,COMASINA,1063,82,0.007742452383553661
15-24 anni,CORSICA,1652,25,0.012032484795513311
15-24 anni,DE ANGELI - MONTE ROSA,2099,58,0.015288247933282349
15-24 anni,DERGANO,2465,79,0.01795404056957646
15-24 anni,DUOMO,1934,1,0.01408645617101861
15-24 anni,FARINI,336,78,0.0024472850431552498
15-24 anni,FIGINO,260,63,0.0018937324738701336
15-24 anni,FORZE ARMATE,2555,56,0.018609563348993045
15-24 anni,GHISOLFA,1602,70,0.011668305473615208
15-24 anni,GIAMBELLINO,3133,49,0.02281947631013511
15-24 anni,GIARDINI P.TA VENEZIA,4,3,2.913434575184821e-05
15-24 anni,GORLA - PRECOTTO,2652,16,0.019316071233475365
15-24 anni,GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE,2281,41,0.01661386066499144
15-24 anni,GRECO - SEGNANO,1501,13,0.010932663243381041
15-24 anni,GUASTALLA,1624,4,0.011828544375250374
15-24 anni,ISOLA,1891,11,0.01377326195418624
15-24 anni,LAMBRATE - ORTICA,1084,23,0.007895407698750865
15-24 anni,LODI - CORVETTO,3628,35,0.026424851596926327
15-24 anni,LORENTEGGIO,1509,53,0.010990931934884738
15-24 anni,LORETO - CASORETTO - NOLO,4066,20,0.029615062456753705
15-24 anni,MACIACHINI - MAGGIOLINA,2411,12,0.017560726901926508
15-24 anni,MAGENTA - S.VITTORE,2106,7,0.015339233038348082
15-24 anni,MAGGIORE - MUSOCCO - CERTOSA,622,72,0.004530390764412397
15-24 anni,MONCUCCO - SAN CRISTOFORO,1361,45,0.009912961142066353
15-24 anni,MONLUE' - PONTE LAMBRO,761,31,0.005542809279289122
15-24 anni,MORIVIONE,855,37,0.006227466404457555
15-24 anni,MUGGIANO,438,54,0.003190210859827379
15-24 anni,NIGUARDA - CA GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,3530,14,0.025711060126006047
15-24 anni,ORTOMERCATO,380,29,0.00276776284642558
15-24 anni,PADOVA - TURRO - CRESCENZAGO,3564,19,0.025958702064896755
15-24 anni,PAGANO,2113,68,0.015390218143413816
15-24 anni,PARCO BOSCO IN CITTA',91,88,0.0006628063658545468
15-24 anni,PARCO FORLANINI - CAVRIANO,427,24,0.0031100914090097962
15-24 anni,PARCO NORD,10,84,7.283586437962052e-05
15-24 anni,PARCO DEI NAVIGLI,39,86,0.00028405987108052
15-24 anni,PARCO DELLE ABBAZIE,54,85,0.00039331366764995085
15-24 anni,PORTA GARIBALDI - PORTA NUOVA,462,9,0.0033650169343384683
15-24 anni,PORTA GENOVA,1526,50,0.011114752904330092
15-24 anni,PORTA MAGENTA,2738,51,0.0199424596671401
15-24 anni,PORTA TICINESE - CONCA DEL NAVIGLIO,1947,6,0.014181142794712116
15-24 anni,PORTA TICINESE - CONCHETTA,1344,44,0.009789140172620999
15-24 anni,PORTA VIGENTINA - PORTA LODOVICA,1581,5,0.011515350158418005
15-24 anni,PORTELLO,774,67,0.005637495902982629
15-24 anni,PTA ROMANA,1405,27,0.010233438945336683
15-24 anni,Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO,3203,65,0.023329327360792455
15-24 anni,QT 8,419,66,0.0030518227175061
15-24 anni,QUARTO CAGNINO,982,61,0.007152481882078735
15-24 anni,QUARTO OGGIARO - VIALBA - MUSOCCO,3714,76,0.02705124003059106
15-24 anni,QUINTO ROMANO,479,62,0.0034888379037838232
15-24 anni,QUINTOSOLE,49,39,0.0003568957354601406
15-24 anni,ROGOREDO - SANTA GIULIA,1187,33,0.008645617101860957
15-24 anni,RONCHETTO DELLE RANE,124,40,0.0009031647183072945
15-24 anni,RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO,1350,48,0.00983284169124877
15-24 anni,ROSERIO,23,74,0.00016752248807312722
15-24 anni,SAN SIRO,2671,57,0.01945445937579664
15-24 anni,SARPI,2652,69,0.019316071233475365
15-24 anni,SCALO ROMANA,1155,36,0.00841254233584617
15-24 anni,STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA,2930,42,0.021340908263228812
15-24 anni,STADIO - IPPODROMI,1689,60,0.012301977493717907
15-24 anni,STAZIONE CENTRALE - PONTE SEVESO,1823,10,0.013277978076404821
