linea,mezzo,percorso,orario,tipo_giorno,inizio,fine,corse_gior,corse_punt,corse_morb,corse_sera,next_day
48,BUS,8989,INV2021-2022,L,425,1295,29,4,4,0,False
39,BUS,11333,INV2021-2022,F,385,1317,49,5,5,0,False
80,BUS,8119,INV2021-2022,F,85,315,8,0,0,0,False
925,BUS,7691,INV2021-2022,F,460,1189,15,2,3,0,False
115,BUS,10025,INV2021-2022,S,88,351,9,0,0,0,False
41,BUS,12712,INV2021-2022,F,363,43,52,5,5,6,True
925,BUS,7691,INV2021-2022,L,432,1206,35,5,6,0,False
70,BUS,9216,INV2021-2022,L,327,123,43,1,0,6,True
59,BUS,11344,INV2021-2022,S,1195,1319,8,0,0,0,False
566,BUS,12394,INV2021-2022,S,330,1145,16,4,1,0,False
561,BUS,9306,INV2021-2022,F,600,1053,4,0,2,0,False
130,BUS,12177,INV2021-2022,S,1035,1182,4,0,0,0,False
16,TRAM,7793,INV2021-2022,F,341,864,7,1,0,0,False
728,BUS,6252,INV2021-2022,L,330,399,2,0,0,0,False
31,TRAM,7214,INV2021-2022,L,340,1425,105,18,10,5,False
34,BUS,11633,INV2021-2022,L,375,1311,78,13,8,0,False
925,BUS,4701,INV2021-2022,L,375,80,32,5,0,4,True
66,BUS,4039,INV2021-2022,L,380,64,40,5,3,5,True
925,BUS,10148,INV2021-2022,F,460,1183,15,2,3,0,False
353,BUS,8839,INV2021-2022,L,405,37,33,6,3,4,True
90,FILOBUS,4086,INV2021-2022,L,55,62,218,41,18,9,False
14,TRAM,12592,INV2021-2022,L,262,1112,25,4,0,0,False
56,BUS,654,INV2021-2022,F,360,128,58,6,5,4,True
70,BUS,10095,INV2021-2022,S,469,1121,64,8,12,0,False
64,BUS,10300,INV2021-2022,F,360,95,62,6,6,5,True
322,BUS,12273,INV2021-2022,L,350,1437,62,14,4,2,False
16,TRAM,12162,INV2021-2022,S,300,116,110,11,11,8,True
702,BUS,9984,INV2021-2022,L,340,1428,55,8,6,3,False
56,BUS,3465,INV2021-2022,S,378,114,79,10,9,5,True
926,BUS,10151,INV2021-2022,L,400,1227,13,3,0,0,False
201,BUS,12132,INV2021-2022,F,370,1232,25,3,3,0,False
9,TRAM,9962,INV2021-2022,F,335,145,114,11,12,10,True
80,BUS,10306,INV2021-2022,L,354,107,86,12,8,6,True
79,BUS,8413,INV2021-2022,S,380,1320,33,5,4,0,False
52,BUS,12894,INV2021-2022,L,360,1360,97,13,11,1,False
542,BUS,7436,INV2021-2022,S,460,1233,14,2,2,0,False
560,BUS,11090,INV2021-2022,S,450,1275,25,3,4,0,False
783,BUS,8332,INV2021-2022,S,365,1274,45,6,6,0,False
12,TRAM,12907,INV2021-2022,L,325,33,108,15,12,6,True
39,BUS,11333,INV2021-2022,L,335,1317,40,1,9,0,False
38,BUS,11994,INV2021-2022,F,375,20,46,4,4,4,True
12,TRAM,12907,INV2021-2022,F,325,33,73,7,7,6,True
33,TRAM,8260,INV2021-2022,S,345,100,90,10,10,6,True
220,BUS,10547,INV2021-2022,L,385,1276,29,4,4,0,False
82,BUS,12963,INV2021-2022,F,385,94,62,7,6,6,True
528,BUS,9320,INV2021-2022,L,516,1344,26,1,4,1,False
58,BUS,11299,INV2021-2022,F,386,102,72,7,7,8,True
65,BUS,9746,INV2021-2022,L,382,1251,57,9,8,0,False
