Age,Activity,Value,Time,datetime,Time_lag,Density
15-24 anni,"dormire, mangiare e altra cura della persona",39.2,06:00:00,06:00:00,05:20:00,0.0015167519839657648
15-24 anni,"dormire, mangiare e altra cura della persona",48.85,06:10:00,06:10:00,05:30:00,0.0018901360820593777
15-24 anni,"dormire, mangiare e altra cura della persona",58.25999999999999,06:20:00,06:20:00,05:40:00,0.002254233943516465
15-24 anni,"dormire, mangiare e altra cura della persona",67.13,06:30:00,06:30:00,05:50:00,0.0025974377725413718
15-24 anni,"dormire, mangiare e altra cura della persona",65.8,06:40:00,06:40:00,06:00:00,0.0025459765445139623
15-24 anni,"dormire, mangiare e altra cura della persona",90.4,06:50:00,06:50:00,06:10:00,0.003497815799757784
15-24 anni,"dormire, mangiare e altra cura della persona",95.59000000000002,07:00:00,07:00:00,06:20:00,0.0036986306670226394
15-24 anni,"dormire, mangiare e altra cura della persona",178.29000000000002,07:10:00,07:10:00,06:30:00,0.006898513041358577
15-24 anni,"dormire, mangiare e altra cura della persona",271.66,07:20:00,07:20:00,06:40:00,0.010511246019493358
15-24 anni,"dormire, mangiare e altra cura della persona",485.55,07:30:00,07:30:00,06:50:00,0.018787217495269824
15-24 anni,"dormire, mangiare e altra cura della persona",668.16,07:40:00,07:40:00,07:00:00,0.02585288279608585
15-24 anni,"dormire, mangiare e altra cura della persona",729.1,07:50:00,07:50:00,07:10:00,0.02821081304871018
15-24 anni,"dormire, mangiare e altra cura della persona",856.1700000000001,08:00:00,08:00:00,07:20:00,0.0331274884212237
15-24 anni,"dormire, mangiare e altra cura della persona",1054.3200000000002,08:10:00,08:10:00,07:30:00,0.04079443754425473
15-24 anni,"dormire, mangiare e altra cura della persona",1116.19,08:20:00,08:20:00,07:40:00,0.043188351963845587
15-24 anni,"dormire, mangiare e altra cura della persona",1108.8,08:30:00,08:30:00,07:50:00,0.04290241326074591
15-24 anni,"dormire, mangiare e altra cura della persona",771.2,08:40:00,08:40:00,08:00:00,0.02983977372536729
15-24 anni,"dormire, mangiare e altra cura della persona",563.64,08:50:00,08:50:00,08:10:00,0.021808726740879174
15-24 anni,"dormire, mangiare e altra cura della persona",409.45,09:00:00,09:00:00,08:20:00,0.015842706628438324
15-24 anni,"dormire, mangiare e altra cura della persona",306.36,09:10:00,09:10:00,08:30:00,0.011853881066524278
15-24 anni,"dormire, mangiare e altra cura della persona",283.23999999999995,09:20:00,09:20:00,08:40:00,0.010959306937205692
15-24 anni,"dormire, mangiare e altra cura della persona",246.55999999999997,09:30:00,09:30:00,08:50:00,0.009540060437923442
15-24 anni,"dormire, mangiare e altra cura della persona",171.5,09:40:00,09:40:00,09:00:00,0.006635789929850221
15-24 anni,"dormire, mangiare e altra cura della persona",136.5,09:50:00,09:50:00,09:10:00,0.0052815470870236445
15-24 anni,"dormire, mangiare e altra cura della persona",125.55,10:00:00,10:00:00,09:20:00,0.004857862540482188
15-24 anni,"dormire, mangiare e altra cura della persona",118.36,10:10:00,10:10:00,09:30:00,0.004579662367912957
15-24 anni,"dormire, mangiare e altra cura della persona",112.95,10:20:00,10:20:00,09:40:00,0.0043703351170646205
15-24 anni,"dormire, mangiare e altra cura della persona",107.63,10:30:00,10:30:00,09:50:00,0.004164490204954981
15-24 anni,"dormire, mangiare e altra cura della persona",90.45,10:40:00,10:40:00,10:00:00,0.0034997504323903933
15-24 anni,"dormire, mangiare e altra cura della persona",56.11000000000001,10:50:00,10:50:00,10:10:00,0.0021710447403142617
15-24 anni,"dormire, mangiare e altra cura della persona",50.82,11:00:00,11:00:00,10:20:00,0.001966360607784188
15-24 anni,"dormire, mangiare e altra cura della persona",52.910000000000004,11:10:00,11:10:00,10:30:00,0.0020472282518272608
15-24 anni,"dormire, mangiare e altra cura della persona",48.26,11:20:00,11:20:00,10:40:00,0.0018673074169945868
15-24 anni,"dormire, mangiare e altra cura della persona",49.449999999999996,11:30:00,11:30:00,10:50:00,0.0019133516736506903
15-24 anni,"dormire, mangiare e altra cura della persona",57.68,11:40:00,11:40:00,11:00:00,0.0022317922049781965
15-24 anni,"dormire, mangiare e altra cura della persona",51.0,11:50:00,11:50:00,11:10:00,0.0019733252852615814
15-24 anni,"dormire, mangiare e altra cura della persona",73.14,12:00:00,12:00:00,11:20:00,0.002829980614981021
15-24 anni,"dormire, mangiare e altra cura della persona",70.64999999999999,12:10:00,12:10:00,11:30:00,0.002733635909877073
15-24 anni,"dormire, mangiare e altra cura della persona",86.18999999999998,12:20:00,12:20:00,11:40:00,0.0033349197320920723
15-24 anni,"dormire, mangiare e altra cura della persona",108.63999999999999,12:30:00,12:30:00,11:50:00,0.00420356978413369
15-24 anni,"dormire, mangiare e altra cura della persona",140.70000000000002,12:40:00,12:40:00,12:00:00,0.005444056228162835
15-24 anni,"dormire, mangiare e altra cura della persona",129.25,12:50:00,12:50:00,12:10:00,0.005001025355295283
15-24 anni,"dormire, mangiare e altra cura della persona",182.97000000000003,13:00:00,13:00:00,12:20:00,0.007079594655770817
15-24 anni,"dormire, mangiare e altra cura della persona",267.14000000000004,13:10:00,13:10:00,12:30:00,0.01033635522950547
15-24 anni,"dormire, mangiare e altra cura della persona",269.28000000000003,13:20:00,13:20:00,12:40:00,0.010419157506181153
15-24 anni,"dormire, mangiare e altra cura della persona",361.04999999999995,13:30:00,13:30:00,12:50:00,0.013969982240072431
15-24 anni,"dormire, mangiare e altra cura della persona",660.15,13:40:00,13:40:00,13:00:00,0.025542954648341824
15-24 anni,"dormire, mangiare e altra cura della persona",601.29,13:50:00,13:50:00,13:10:00,0.023265505113234046
15-24 anni,"dormire, mangiare e altra cura della persona",454.15000000000003,14:00:00,14:00:00,13:20:00,0.017572268201991124
