Classe di età,Tipo attività,Periodo temporale di riferimento,Value
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 00:00 - 00:10,73.0
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 00:10 - 00:20,75.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 00:20 - 00:30,77.4
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 00:30 - 00:40,80.6
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 00:40 - 00:50,82.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 00:50 - 01:00,83.5
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 01:00 - 01:10,87.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 01:10 - 01:20,89.0
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 01:20 - 00:30,90.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 01:30 - 01:40,91.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 01:40 - 01:50,91.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 01:50 - 02:00,92.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 02:00 - 02:10,93.6
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 02:10 - 02:20,94.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 02:20 - 02:30,94.6
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 02:30 - 02:40,95.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 02:40 - 02:50,95.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 02:50 - 03:00,95.9
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 03:00 - 03:10,96.7
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 03:10 - 03:20,97.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 03:20 - 03:30,97.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 03:30 - 03:40,97.5
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 03:40 - 03:50,97.8
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 03:50 - 04:00,98.5
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 04:00 - 04:10,99.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 04:10 - 04:20,99.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 04:20 - 04:30,99.2
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 04:30 - 04:40,99.3
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 04:40 - 04:50,99.1
15-24 anni,"dormire, mangiare e altra cura della persona",giorno medio settimanale 04:50 - 05:00,99.2
