linea;mezzo;percorso;orario;tipo_giorno;inizio;fine;corse_gior;corse_punt;corse_morb;corse_sera
1;METRO;100013;INV2021-2022;L;05:40;06:25;2;0;0;0
2;METRO;100059;INV2021-2022;S;05:45;01:07;60;0;11;8
2;METRO;100066;INV2021-2022;L;09:30;17:39;4;0;0;0
2;METRO;100073;INV2021-2022;F;06:00;00:59;41;4;4;0
1;METRO;100034;INV2021-2022;L;00:13;00:52;1;0;0;0
2;METRO;100048;INV2021-2022;L;05:40;01:31;110;23;9;0
2;METRO;100045;INV2021-2022;S;09:06;00:16;56;0;12;7
5;METRO;100089;INV2021-2022;L;05:40;00:25;279;39;30;20
2;METRO;100070;INV2021-2022;F;06:21;06:27;1;0;0;0
2;METRO;100053;INV2021-2022;S;20:00;00:30;7;0;0;4
2;METRO;100066;INV2021-2022;F;08:04;12:12;8;2;4;0
1;METRO;100033;INV2021-2022;F;06:15;00:55;89;8;10;8
2;METRO;100066;INV2021-2022;S;06:31;21:22;7;3;0;0
2;METRO;100067;INV2021-2022;L;05:50;23:18;111;22;11;2
1;METRO;100033;INV2021-2022;L;05:40;00:55;162;26;16;7
2;METRO;100045;INV2021-2022;L;10:05;00:16;42;0;9;7
2;METRO;100058;INV2021-2022;L;05:47;17:12;16;4;0;0
2;METRO;100074;INV2021-2022;L;09:17;00:33;8;0;0;4
2;METRO;100060;INV2021-2022;S;20:56;21:33;1;0;0;0
1;METRO;100013;INV2021-2022;F;06:09;06:49;1;0;0;0
2;METRO;100060;INV2021-2022;L;23:12;00:48;3;0;0;2
3;METRO;100081;INV2021-2022;F;06:00;00:50;155;15;16;13
2;METRO;100052;INV2021-2022;F;06:05;00:58;20;3;4;4
1;METRO;100034;INV2021-2022;S;00:13;00:52;1;0;0;0
1;METRO;100038;INV2021-2022;L;05:54;17:22;13;4;0;0
2;METRO;100070;INV2021-2022;L;06:08;06:14;1;0;0;0
1;METRO;100013;INV2021-2022;S;05:40;06:20;1;0;0;0
1;METRO;100030;INV2021-2022;L;05:50;00:54;165;26;16;8
2;METRO;100067;INV2021-2022;F;06:07;00:48;38;2;0;4
3;METRO;100082;INV2021-2022;L;05:40;00:53;236;36;25;13
2;METRO;100050;INV2021-2022;F;07:15;01:03;3;1;0;1
5;METRO;100084;INV2021-2022;S;05:40;00:23;254;30;30;20
1;METRO;100038;INV2021-2022;S;06:00;06:57;5;0;0;0
2;METRO;100095;INV2021-2022;S;06:15;07:09;1;0;0;0
2;METRO;100053;INV2021-2022;L;09:18;00:30;11;0;1;4
2;METRO;100060;INV2021-2022;F;08:19;22:02;9;2;4;0
2;METRO;100067;INV2021-2022;S;05:50;00:48;65;9;6;4
2;METRO;100077;INV2021-2022;L;16:34;17:45;2;0;0;0
2;METRO;100073;INV2021-2022;S;05:55;00:59;62;12;6;0
2;METRO;100058;INV2021-2022;F;05:52;12:20;3;0;0;0
2;METRO;100058;INV2021-2022;S;05:47;16:47;5;0;0;0
1;METRO;100034;INV2021-2022;F;00:13;00:52;1;0;0;0
2;METRO;100047;INV2021-2022;F;07:11;22:07;26;1;0;0
2;METRO;100052;INV2021-2022;S;05:50;00:58;69;12;6;4
1;METRO;100043;INV2021-2022;L;17:00;17:40;1;0;0;0
2;METRO;100059;INV2021-2022;F;06:05;01:07;51;4;4;8
2;METRO;100080;INV2021-2022;L;06:08;06:12;1;0;0;0
2;METRO;100048;INV2021-2022;F;06:00;01:31;17;3;4;0
3;METRO;100082;INV2021-2022;S;05:40;00:53;183;22;22;13
5;METRO;100084;INV2021-2022;F;06:00;00:23;251;30;30;20
5;METRO;100084;INV2021-2022;L;05:40;00:25;279;39;30;20
2;METRO;100052;INV2021-2022;L;05:50;22:30;108;23;9;0
2;METRO;100070;INV2021-2022;S;06:09;06:15;1;0;0;0
2;METRO;100095;INV2021-2022;L;16:44;17:40;1;0;0;0
2;METRO;100080;INV2021-2022;S;06:08;06:12;1;0;0;0
2;METRO;100059;INV2021-2022;L;05:45;01:07;48;0;8;8
2;METRO;100047;INV2021-2022;S;05:46;21:13;4;0;0;0
