linea;mezzo;percorso;orario;tipo_giorno;inizio;fine;corse_gior;corse_punt;corse_morb;corse_sera
48;BUS;8989;INV2021-2022;L;07:05;21:35;29;4;4;0
39;BUS;11333;INV2021-2022;F;06:25;21:57;49;5;5;0
80;BUS;8119;INV2021-2022;F;01:25;05:15;8;0;0;0
925;BUS;7691;INV2021-2022;F;07:40;19:49;15;2;3;0
115;BUS;10025;INV2021-2022;S;01:28;05:51;9;0;0;0
41;BUS;12712;INV2021-2022;F;06:03;00:43;52;5;5;6
925;BUS;7691;INV2021-2022;L;07:12;20:06;35;5;6;0
70;BUS;9216;INV2021-2022;L;05:27;02:03;43;1;0;6
59;BUS;11344;INV2021-2022;S;19:55;21:59;8;0;0;0
566;BUS;12394;INV2021-2022;S;05:30;19:05;16;4;1;0
561;BUS;9306;INV2021-2022;F;10:00;17:33;4;0;2;0
130;BUS;12177;INV2021-2022;S;17:15;19:42;4;0;0;0
16;TRAM;7793;INV2021-2022;F;05:41;14:24;7;1;0;0
728;BUS;6252;INV2021-2022;L;05:30;06:39;2;0;0;0
31;TRAM;7214;INV2021-2022;L;05:40;23:45;105;18;10;5
34;BUS;11633;INV2021-2022;L;06:15;21:51;78;13;8;0
925;BUS;4701;INV2021-2022;L;06:15;01:20;32;5;0;4
66;BUS;4039;INV2021-2022;L;06:20;01:04;40;5;3;5
925;BUS;10148;INV2021-2022;F;07:40;19:43;15;2;3;0
353;BUS;8839;INV2021-2022;L;06:45;00:37;33;6;3;4
90;FILOBUS;4086;INV2021-2022;L;00:55;01:02;218;41;18;9
14;TRAM;12592;INV2021-2022;L;04:22;18:32;25;4;0;0
56;BUS;654;INV2021-2022;F;06:00;02:08;58;6;5;4
70;BUS;10095;INV2021-2022;S;07:49;18:41;64;8;12;0
64;BUS;10300;INV2021-2022;F;06:00;01:35;62;6;6;5
322;BUS;12273;INV2021-2022;L;05:50;23:57;62;14;4;2
16;TRAM;12162;INV2021-2022;S;05:00;01:56;110;11;11;8
702;BUS;9984;INV2021-2022;L;05:40;23:48;55;8;6;3
56;BUS;3465;INV2021-2022;S;06:18;01:54;79;10;9;5
926;BUS;10151;INV2021-2022;L;06:40;20:27;13;3;0;0
201;BUS;12132;INV2021-2022;F;06:10;20:32;25;3;3;0
9;TRAM;9962;INV2021-2022;F;05:35;02:25;114;11;12;10
80;BUS;10306;INV2021-2022;L;05:54;01:47;86;12;8;6
79;BUS;8413;INV2021-2022;S;06:20;22:00;33;5;4;0
52;BUS;12894;INV2021-2022;L;06:00;22:40;97;13;11;1
542;BUS;7436;INV2021-2022;S;07:40;20:33;14;2;2;0
560;BUS;11090;INV2021-2022;S;07:30;21:15;25;3;4;0
783;BUS;8332;INV2021-2022;S;06:05;21:14;45;6;6;0
12;TRAM;12907;INV2021-2022;L;05:25;00:33;108;15;12;6
39;BUS;11333;INV2021-2022;L;05:35;21:57;40;1;9;0
38;BUS;11994;INV2021-2022;F;06:15;00:20;46;4;4;4
12;TRAM;12907;INV2021-2022;F;05:25;00:33;73;7;7;6
33;TRAM;8260;INV2021-2022;S;05:45;01:40;90;10;10;6
220;BUS;10547;INV2021-2022;L;06:25;21:16;29;4;4;0
82;BUS;12963;INV2021-2022;F;06:25;01:34;62;7;6;6
528;BUS;9320;INV2021-2022;L;08:36;22:24;26;1;4;1
58;BUS;11299;INV2021-2022;F;06:26;01:42;72;7;7;8
65;BUS;9746;INV2021-2022;L;06:22;20:51;57;9;8;0
48;BUS;8988;INV2021-2022;L;06:41;20:55;29;4;4;0
69;BUS;4405;INV2021-2022;S;06:20;21:14;47;6;6;0
82;BUS;9212;INV2021-2022;L;06:00;01:03;94;14;10;6
121;BUS;4873;INV2021-2022;S;06:05;14:08;8;4;0;0
560;BUS;9303;INV2021-2022;F;14:00;19:11;3;0;0;0
16;TRAM;12162;INV2021-2022;L;05:00;01:56;97;12;12;6
91;FILOBUS;3578;INV2021-2022;F;00:55;01:23;110;9;9;10
4;TRAM;9158;INV2021-2022;S;04:45;01:36;112;13;13;8
172;BUS;3976;INV2021-2022;F;14:00;18:02;5;0;0;0
3;TRAM;5065;INV2021-2022;S;05:27;07:04;6;0;0;0
77;BUS;9443;INV2021-2022;L;06:21;00:33;59;8;6;4
54;BUS;12145;INV2021-2022;S;01:25;01:22;138;18;16;8
4;TRAM;3848;INV2021-2022;L;07:00;19:30;33;14;0;0
63;BUS;10769;INV2021-2022;L;06:58;20:39;77;14;11;0
9;TRAM;4538;INV2021-2022;S;04:45;01:36;139;17;16;10
201;BUS;10050;INV2021-2022;F;20:43;00:46;18;0;0;9
57;BUS;7547;INV2021-2022;L;04:50;21:24;131;22;16;0
58;BUS;11299;INV2021-2022;S;06:26;01:42;117;15;14;8
126;BUS;9970;INV2021-2022;L;01:00;05:36;9;0;0;0
321;BUS;12293;INV2021-2022;S;05:52;01:24;41;6;4;1
73;BUS;10111;INV2021-2022;S;05:30;01:32;72;8;8;6
63;BUS;10770;INV2021-2022;S;06:13;01:37;41;14;1;8
166;BUS;6142;INV2021-2022;F;06:00;00:30;21;2;2;2
166;BUS;8842;INV2021-2022;L;05:35;19:50;34;6;4;0
728;BUS;7607;INV2021-2022;L;05:40;01:19;53;7;5;4
12;TRAM;12801;INV2021-2022;L;06:10;02:11;107;15;12;6
57;BUS;7548;INV2021-2022;F;00:50;01:05;21;0;0;7
19;TRAM;9366;INV2021-2022;S;05:47;00:56;89;11;11;6
328;BUS;10537;INV2021-2022;S;06:30;21:42;34;6;4;0
73;BUS;10113;INV2021-2022;L;06:20;23:56;27;11;4;2
70;BUS;9217;INV2021-2022;F;07:26;18:14;48;7;9;0
542;BUS;7435;INV2021-2022;L;06:20;20:10;28;4;4;0
925;BUS;4701;INV2021-2022;S;06:30;01:18;18;2;0;4
12;TRAM;12801;INV2021-2022;F;06:10;02:11;76;7;7;6
99;BUS;11653;INV2021-2022;L;06:18;22:05;55;8;7;0
130;BUS;12179;INV2021-2022;S;06:50;17:02;17;4;3;0
88;BUS;5085;INV2021-2022;L;06:06;21:53;47;6;6;0
321;BUS;12292;INV2021-2022;S;19:51;21:55;3;0;0;0
2;TRAM;12381;INV2021-2022;F;05:35;00:34;79;8;8;8
124;BUS;11635;INV2021-2022;F;02:05;06:07;9;0;0;0
701;BUS;10097;INV2021-2022;S;05:45;19:15;13;4;0;0
729;BUS;5843;INV2021-2022;L;05:20;19:56;22;9;0;0
