linea;mezzo;percorso;verso;nome;tipo_perc;lung_km;num_ferm;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
1;TRAM;12560;Di;Roserio - Greco;Canonico;13.82;48;9.16974100864072;45.4859750999615;"(45.4859750999615, 9.16974100864072)"
1;TRAM;9457;As;Greco - Roserio;Canonico;13.97;47;9.16941433348211;45.4863116993006;"(45.4863116993006, 9.16941433348211)"
10;TRAM;10930;As;Lunigiana - 24 Maggio (LAV. MONUMENTALE);Canonico;10.12;35;9.17806739004007;45.4753045559618;"(45.4753045559618, 9.17806739004007)"
10;TRAM;10933;Di;24 Maggio - Lunigiana (LAV. MONUMENTALE);Canonico;9.99;35;9.1781685490565;45.4748642272165;"(45.4748642272165, 9.1781685490565)"
115;BUS;10025;As;Gratosoglio - P.za Diaz;Canonico;7.35;21;9.1793322250523;45.4339331905209;"(45.4339331905209, 9.1793322250523)"
115;BUS;9665;Di;P.za Diaz - Gratosoglio;Canonico;7.96;21;9.17963734227982;45.4349223564137;"(45.4349223564137, 9.17963734227982)"
12;TRAM;12801;Di;Molise - Roserio (LAV. MONUMENTALE);Canonico;13.16;41;9.1712169140684;45.4840742203111;"(45.4840742203111, 9.1712169140684)"
12;TRAM;12907;As;Roserio - Molise (LAV. MONUMENTALE);Canonico;13.14;40;9.17209612397552;45.4835302351404;"(45.4835302351404, 9.17209612397552)"
121;BUS;4241;Di;S.Giuliano M. (De Nicola) - Stz S.Donato M3;Barrato;6.18;14;9.26561310428517;45.4145376130546;"(45.4145376130546, 9.26561310428517)"
121;BUS;4242;Di;S.Giuliano M. (Stz F.S.) - Stz S.Donato M3;Canonico;6.44;15;9.26603347185155;45.4125556960471;"(45.4125556960471, 9.26603347185155)"
121;BUS;4872;As;"Stz S.Donato M3 - S.Giuliano M (Stz F.S,)";Canonico;6.37;13;9.2663207151857;45.4118551860695;"(45.4118551860695, 9.2663207151857)"
121;BUS;4873;As;Stz S.Donato M3 - S.Giuliano M (De Nicola);Barrato;6.09;12;9.26588680131659;45.4139308430882;"(45.4139308430882, 9.26588680131659)"
124;BUS;11634;As;Vigentino - Duomo;Canonico;5.33;16;9.19829635891518;45.4405981818023;"(45.4405981818023, 9.19829635891518)"
124;BUS;11635;Di;Duomo - Vigentino;Canonico;5.64;17;9.19849421562267;45.441357546379;"(45.441357546379, 9.19849421562267)"
125;BUS;10011;As;Centrale FS M2 M3 - Cadorna FN M1 M2;Canonico;5.72;9;9.18067264796793;45.4805971659;"(45.4805971659, 9.18067264796793)"
