percorso;num;id_ferm
10151;7;13331
6774;16;11915
12162;26;10635
322;11;13691
12273;2;13284
11297;14;10829
7613;10;16515
9962;25;11192
11722;24;16929
11424;12;10760
6737;6;11691
9904;19;11131
9439;4;12323
9320;9;16665
12629;6;10539
7621;4;14098
12381;11;11577
9319;4;15614
11425;16;11524
12145;28;17769
5484;10;12381
7691;9;15199
3732;12;10440
10077;5;12734
7653;19;16538
6142;16;13098
6844;9;17122
6807;9;14499
11837;17;12831
9160;19;15398
5799;11;16591
8119;13;10267
10113;24;12125
7691;10;13539
12808;15;11187
11608;9;14899
11652;3;18096
11709;11;12402
12657;13;12525
12336;11;13226
4538;19;11856
9308;4;16457
5799;2;16841
9925;8;12858
6244;17;11146
10013;3;13799
8988;4;10679
9878;20;10357
6802;8;10009
12592;15;10556
10300;6;10090
11425;24;10774
12963;3;15557
4873;9;14208
5799;1;16797
9160;13;15386
6791;3;15647
4243;15;11083
5085;6;16081
11301;4;16340
11358;10;11158
4242;7;15572
6774;18;11938
7277;14;13832
10930;2;17611
12145;7;12693
7547;24;11304
7212;14;12320
12893;9;11371
10144;16;13215
11825;5;18468
3001;4;10884
6294;26;16182
8599;15;13973
11657;23;15081
8119;16;10073
10306;6;15157
12309;10;14360
10304;10;10254
12442;11;12744
12560;29;11546
6791;9;12281
7548;27;11564
10545;31;16033
12314;5;12344
12314;30;16797
8742;4;16207
11198;20;10212
8090;3;10332
3578;22;12184
10556;26;12723
11993;15;12436
10013;8;14914
12592;5;11477
9137;11;12867
10112;3;13333
12390;6;10338
10077;10;12789
8093;3;10616
7547;14;10719
11213;22;10623
9670;10;12151
10389;2;15214
9632;28;12729
4086;1;13158
10306;4;10036
10338;21;12946
11677;9;12635
9693;1;18009
12310;14;14360
5099;2;12531
10930;9;11859
5795;19;13351
8174;24;12318
5099;18;12105
9367;38;12139
583;24;10158
9878;28;10598
12254;4;16316
4705;14;11561
8843;4;14939
9670;19;11881
10011;1;16875
7542;18;10691
11628;12;11758
11684;8;15099
12560;42;12175
12841;14;16560
10077;3;12735
3575;35;12363
3851;2;15384
4404;21;10125
9137;8;12694
10116;20;18134
7543;7;11303
12074;4;12322
8174;25;15060
12963;1;17343
10548;33;15974
12908;30;11171
6777;17;11979
9747;5;11413
12174;8;13492
6777;16;11986
6844;1;17118
9309;9;16847
11524;8;11919
12958;5;17948
9361;22;13133
6201;32;12700
12712;7;14858
9367;19;10947
6796;3;15148
9367;18;17552
10144;12;13211
8173;20;11955
9925;12;17900
11090;24;17451
12130;26;13408
7607;16;13627
9217;18;11394
12290;5;13267
4241;10;13263
4538;11;11777
6244;5;13209
8093;17;10077
9924;3;12447
11357;10;10757
8230;11;17094
12490;12;11726
5099;10;12430
6764;21;12907
6294;21;16169
9216;1;17853
11345;4;11125
9746;25;11790
480;3;12902
12073;16;16135
12245;14;15828
7548;18;10989
12907;37;14872
8413;4;17631
11322;23;10486
10300;20;10381
8658;11;12634
7212;8;11978
12179;19;16154
12245;20;18095
10491;39;17739
12381;5;11325
9933;21;17138
12074;27;16154
12196;14;16269
7608;17;16051
8838;6;13418
5843;10;14604
10113;30;18155
11090;1;16450
12957;2;13129
7616;4;13979
10145;32;14988
8231;13;17300
6708;22;12163
7565;19;17396
10063;4;13735
12394;8;16554
10556;17;18112
